id,internalId,related_id,slug,title,duration,viewedCount,presenterDisplayName
20591,466,45,sirena_huang_an_11_year_old_s_magical_violin,An 11-year-old's magical violin,1467,3444470,Sirena Huang
20591,466,663,itay_talgam_lead_like_the_great_conductors,Lead like the great conductors,1234,4445600,Itay Talgam
20591,466,1240,charles_hazlewood_trusting_the_ensemble,Trusting the ensemble,1159,600067,Charles Hazlewood
20591,466,1526,mark_applebaum_the_mad_scientist_of_music,The mad scientist of music,993,5766346,Mark Applebaum
20537,464,466,gustavo_dudamel_and_the_teresa_carreno_youth_orchestra_el_sistema_s_top_youth_orchestra,El Sistema's top youth orchestra,1004,3072247,Gustavo Dudamel and the Teresa Carreño Youth Orchestra
20537,464,286,benjamin_zander_the_transformative_power_of_classical_music,The transformative power of classical music,1213,16862041,Benjamin Zander
20537,464,45,sirena_huang_an_11_year_old_s_magical_violin,An 11-year-old's magical violin,1467,3444470,Sirena Huang
20537,464,663,itay_talgam_lead_like_the_great_conductors,Lead like the great conductors,1234,4445600,Itay Talgam
20537,464,1240,charles_hazlewood_trusting_the_ensemble,Trusting the ensemble,1159,600067,Charles Hazlewood
20537,464,1526,mark_applebaum_the_mad_scientist_of_music,The mad scientist of music,993,5766346,Mark Applebaum
20491,463,193,juan_enriquez_using_biology_to_rethink_the_energy_challenge,Using biology to rethink the energy challenge,1071,1576728,Juan Enriquez
20491,463,38,ray_kurzweil_the_accelerating_power_of_technology,The accelerating power of technology,1362,3056803,Ray Kurzweil
20491,463,227,craig_venter_on_the_verge_of_creating_synthetic_life,On the verge of creating synthetic life,934,1247520,Craig Venter
20491,463,1467,juan_enriquez_will_our_kids_be_a_different_species,Will our kids be a different species?,991,2086093,Juan Enriquez
20491,463,1845,molly_stevens_a_new_way_to_grow_bone,A new way to grow bone,878,1345141,Molly Stevens
20491,463,1187,nina_tandon_caring_for_engineered_tissue,Caring for engineered tissue,236,585907,Nina Tandon
20421,462,93,barry_schwartz_the_paradox_of_choice,The paradox of choice,1163,18316822,Barry Schwartz
20421,462,487,dan_ariely_our_buggy_moral_code,Our buggy moral code,963,4110902,Dan Ariely
20421,462,208,bernie_dunlap_the_life_long_learner,The life-long learner,1128,2296200,Bernie Dunlap
20421,462,1043,barry_schwartz_using_our_practical_wisdom,Using our practical wisdom,1386,1275001,Barry Schwartz
20421,462,341,jonathan_haidt_the_moral_roots_of_liberals_and_conservatives,The moral roots of liberals and conservatives,1102,4533359,Jonathan Haidt
20421,462,68,robert_wright_progress_is_not_a_zero_sum_game,Progress is not a zero-sum game,1137,2130201,Robert Wright
20359,457,350,caleb_chung_playtime_with_pleo_your_robotic_dinosaur_friend,"Playtime with Pleo, your robotic dinosaur friend",1086,486503,Caleb Chung
20359,457,48,saul_griffith_everyday_inventions,Everyday inventions,856,611749,Saul Griffith
20359,457,202,gever_tulley_5_dangerous_things_you_should_let_your_kids_do,5 dangerous things you should let your kids do,545,5598862,Gever Tulley
20359,457,1984,james_patten_the_best_computer_interface_maybe_your_hands,The best computer interface? Maybe ... your hands,358,1123361,James Patten
20359,457,1152,aaron_koblin_visualizing_ourselves_with_crowd_sourced_data,Visualizing ourselves ... with crowd-sourced data,1081,1887269,Aaron Koblin
20359,457,885,margaret_gould_stewart_how_youtube_thinks_about_copyright,How YouTube thinks about copyright,328,1020599,Margaret Gould Stewart
20319,455,215,david_macaulay_an_illustrated_journey_through_rome,An illustrated journey through Rome,1280,800585,David Macaulay
20319,455,50,stefan_sagmeister_happiness_by_design,Happiness by design,916,2405416,Stefan Sagmeister
20319,455,122,david_kelley_human_centered_design,Human-centered design,1007,1233847,David Kelley
20319,455,400,ursus_wehrli_tidying_up_art,Tidying up art,937,1621029,Ursus Wehrli
20319,455,1747,phil_hansen_embrace_the_shake,Embrace the shake,587,3028953,Phil Hansen
20319,455,891,marian_bantjes_intricate_beauty_by_design,Intricate beauty by design,971,750494,Marian Bantjes
20231,453,250,amy_tan_where_does_creativity_hide,Where does creativity hide?,1352,3743381,Amy Tan
20231,453,66,sir_ken_robinson_do_schools_kill_creativity,Do schools kill creativity?,1151,78336061,Sir Ken Robinson
20231,453,1164,janet_echelman_taking_imagination_seriously,Taking imagination seriously,549,2593600,Janet Echelman
20231,453,605,alain_de_botton_a_kinder_gentler_philosophy_of_success,"A kinder, gentler philosophy of success",997,9059789,Alain de Botton
20231,453,44912,derren_brown_mentalism_mind_reading_and_the_art_of_getting_inside_your_head,"Mentalism, mind reading and the art of getting inside your head",852,2766354,Derren Brown
